QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
1037,259,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1038,259.25,,,,,
1039,259.5,,,,,
1040,259.75,,,,,
1041,260,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1042,260.25,,,,,
1043,260.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1044,260.75,,,,,
1045,261,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1046,261.25,,,,,
1047,261.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1048,261.75,,,,,
1049,262,Tom-tom,,[1.0],,1st Quarter
1050,262.25,,,,,
1051,262.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1052,262.75,,,,,
1053,263,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1054,263.25,,,,,
1055,263.5,,,,,
1056,263.75,,,,,
1057,264,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1058,264.25,,,,,
1059,264.5,,,,,
1060,264.75,,,,,
1061,265,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1062,265.25,,,,,
1063,265.5,,,,,
1064,265.75,B,,[0.25],,4th Quarter
1065,266,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1066,266.25,,,,,
1067,266.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1068,266.75,,,,,
1069,267,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1070,267.25,,,,,
1071,267.5,,,,,
1072,267.75,,,,,
1073,268,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1074,268.25,,,,,
1075,268.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1076,268.75,,,,,
1077,269,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1078,269.25,,,,,
1079,269.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1080,269.75,,,,,
1081,270,Tom-tom,,[1.0],,1st Quarter
1082,270.25,,,,,
1083,270.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1084,270.75,,,,,
1085,271,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1086,271.25,,,,,
1087,271.5,,,,,
1088,271.75,,,,,
1089,272,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1090,272.25,,,,,
1091,272.5,,,,,
1092,272.75,,,,,
1093,273,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1094,273.25,,,,,
1095,273.5,,,,,
1096,273.75,,,,,
1097,274,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1098,274.25,,,,,
1099,274.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1100,274.75,,,,,
1101,275,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1102,275.25,,,,,
1103,275.5,,,,,
1104,275.75,,,,,
1105,276,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1106,276.25,,,,,
1107,276.5,,,,,
1108,276.75,,,,,
1109,277,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1110,277.25,B,,[0.25],,2nd Quarter
1111,277.5,B,,[0.25],,3rd Quarter
1112,277.75,B,,[0.25],,4th Quarter
1113,278,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1114,278.25,B,,[0.25],,2nd Quarter
1115,278.5,B,,[0.25],,3rd Quarter
1116,278.75,B,,[0.25],,4th Quarter
1117,279,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1118,279.25,B,,[0.25],,2nd Quarter
1119,279.5,B,,[0.25],,3rd Quarter
1120,279.75,B,,[0.25],,4th Quarter
1121,280,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1122,280.25,,,,,
1123,280.5,,,,,
1124,280.75,,,,,
1125,281,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1126,281.25,,,,,
1127,281.5,,,,,
1128,281.75,,,,,
1129,282,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1130,282.25,,,,,
1131,282.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1132,282.75,,,,,
1133,283,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1134,283.25,,,,,
1135,283.5,,,,,
1136,283.75,,,,,
1137,284,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1138,284.25,,,,,
1139,284.5,,,,,
1140,284.75,,,,,
1141,285,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1142,285.25,B,,[0.25],,2nd Quarter
1143,285.5,B,,[0.25],,3rd Quarter
1144,285.75,B,,[0.25],,4th Quarter
1145,286,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1146,286.25,B,,[0.25],,2nd Quarter
1147,286.5,B,,[0.25],,3rd Quarter
1148,286.75,B,,[0.25],,4th Quarter
1149,287,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1150,287.25,B,,[0.25],,2nd Quarter
1151,287.5,B,,[0.25],,3rd Quarter
1152,287.75,B,,[0.25],,4th Quarter
1153,288,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1154,288.25,,,,,
1155,288.5,,,,,
1156,288.75,,,,,
1157,289,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1158,289.25,,,,,
1159,289.5,,,,,
1160,289.75,,,,,
1161,290,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1162,290.25,,,,,
1163,290.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1164,290.75,,,,,
1165,291,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1166,291.25,,,,,
1167,291.5,,,,,
1168,291.75,,,,,
1169,292,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1170,292.25,,,,,
1171,292.5,,,,,
1172,292.75,,,,,
1173,293,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1174,293.25,B,,[0.25],,2nd Quarter
1175,293.5,B,,[0.25],,3rd Quarter
1176,293.75,B,,[0.25],,4th Quarter
1177,294,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1178,294.25,B,,[0.25],,2nd Quarter
1179,294.5,B,,[0.25],,3rd Quarter
1180,294.75,B,,[0.25],,4th Quarter
1181,295,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
1182,295.25,B,,[0.25],,2nd Quarter
1183,295.5,B,,[0.25],,3rd Quarter
1184,295.75,B,,[0.25],,4th Quarter
1185,296,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1186,296.25,,,,,
1187,296.5,,,,,
1188,296.75,,,,,
1189,297,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1190,297.25,,,,,
1191,297.5,,,,,
1192,297.75,,,,,
1193,298,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1194,298.25,,,,,
1195,298.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1196,298.75,,,,,
1197,299,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1198,299.25,,,,,
1199,299.5,,,,,
1200,299.75,,,,,
1201,300,B,Bass Drum,[0.0, 0.5],1st Quarter
1202,300.25,,,,,
1203,300.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1204,300.75,,,,,
1205,301,B,Bass Drum,[0.0, 0.5],1st Quarter
1206,301.25,,,,,
1207,301.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1208,301.75,,,,,
1209,302,B,Bass Drum,[0.0, 0.5],1st Quarter
1210,302.25,,,,,
1211,302.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1212,302.75,,,,,
1213,303,B,Bass Drum,[0.0, 0.5],1st Quarter
1214,303.25,,,,,
1215,303.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1216,303.75,,,,,
1217,304,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1218,304.25,,,,,
1219,304.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1220,304.75,,,,,
1221,305,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1222,305.25,,,,,
1223,305.5,Bass Drum,,[0.5],,3rd Quarter
1224,305.75,,,,,
1225,306,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1226,306.25,,,,,
1227,306.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1228,306.75,,,,,
1229,307,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1230,307.25,,,,,
1231,307.5,Bass Drum,,[0.5],,3rd Quarter
1232,307.75,,,,,
1233,308,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1234,308.25,,,,,
1235,308.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1236,308.75,,,,,
1237,309,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1238,309.25,,,,,
1239,309.5,Bass Drum,,[0.5],,3rd Quarter
1240,309.75,,,,,
1241,310,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1242,310.25,,,,,
1243,310.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1244,310.75,,,,,
1245,311,,,,,
1246,311.25,,,,,
1247,311.5,B,,[0.25],,3rd Quarter
1248,311.75,B,,[0.25],,4th Quarter
1249,312,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1250,312.25,,,,,
1251,312.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1252,312.75,,,,,
1253,313,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1254,313.25,,,,,
1255,313.5,Bass Drum,,[0.5],,3rd Quarter
1256,313.75,,,,,
1257,314,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1258,314.25,,,,,
1259,314.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1260,314.75,,,,,
1261,315,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1262,315.25,,,,,
1263,315.5,Bass Drum,,[0.5],,3rd Quarter
1264,315.75,,,,,
1265,316,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1266,316.25,,,,,
1267,316.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1268,316.75,,,,,
1269,317,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1270,317.25,,,,,
1271,317.5,Bass Drum,,[0.5],,3rd Quarter
1272,317.75,,,,,
1273,318,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1274,318.25,,,,,
1275,318.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1276,318.75,,,,,
1277,319,,,,,
1278,319.25,,,,,
1279,319.5,B,,[0.25],,3rd Quarter
1280,319.75,B,,[0.25],,4th Quarter
1281,320,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1282,320.25,,,,,
1283,320.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1284,320.75,,,,,
1285,321,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1286,321.25,,,,,
1287,321.5,Bass Drum,,[0.5],,3rd Quarter
1288,321.75,,,,,
1289,322,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1290,322.25,,,,,
1291,322.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1292,322.75,,,,,
1293,323,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1294,323.25,,,,,
1295,323.5,Bass Drum,,[0.5],,3rd Quarter
1296,323.75,,,,,
1297,324,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1298,324.25,,,,,
1299,324.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1300,324.75,,,,,
1301,325,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1302,325.25,,,,,
1303,325.5,Bass Drum,,[0.5],,3rd Quarter
1304,325.75,,,,,
1305,326,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1306,326.25,,,,,
1307,326.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1308,326.75,,,,,
1309,327,,,,,
1310,327.25,,,,,
1311,327.5,B,,[0.25],,3rd Quarter
1312,327.75,B,,[0.25],,4th Quarter
1313,328,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1314,328.25,,,,,
1315,328.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1316,328.75,,,,,
1317,329,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1318,329.25,,,,,
1319,329.5,Bass Drum,,[0.5],,3rd Quarter
1320,329.75,,,,,
1321,330,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1322,330.25,,,,,
1323,330.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1324,330.75,,,,,
1325,331,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1326,331.25,,,,,
1327,331.5,Bass Drum,,[0.5],,3rd Quarter
1328,331.75,,,,,
1329,332,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1330,332.25,,,,,
1331,332.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1332,332.75,,,,,
1333,333,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1334,333.25,,,,,
1335,333.5,Bass Drum,,[0.5],,3rd Quarter
1336,333.75,,,,,
1337,334,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1338,334.25,,,,,
1339,334.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1340,334.75,,,,,
1341,335,,,,,
1342,335.25,,,,,
1343,335.5,B,,[0.25],,3rd Quarter
1344,335.75,B,,[0.25],,4th Quarter
1345,336,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1346,336.25,,,,,
1347,336.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1348,336.75,,,,,
1349,337,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1350,337.25,,,,,
1351,337.5,Bass Drum,,[0.5],,3rd Quarter
1352,337.75,,,,,
1353,338,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1354,338.25,,,,,
1355,338.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1356,338.75,,,,,
1357,339,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1358,339.25,,,,,
1359,339.5,Bass Drum,,[0.5],,3rd Quarter
1360,339.75,,,,,
1361,340,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1362,340.25,,,,,
1363,340.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1364,340.75,,,,,
1365,341,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1366,341.25,,,,,
1367,341.5,Bass Drum,,[0.5],,3rd Quarter
1368,341.75,,,,,
1369,342,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1370,342.25,,,,,
1371,342.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1372,342.75,,,,,
1373,343,,,,,
1374,343.25,,,,,
1375,343.5,B,,[0.25],,3rd Quarter
1376,343.75,B,,[0.25],,4th Quarter
1377,344,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1378,344.25,,,,,
1379,344.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1380,344.75,,,,,
1381,345,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1382,345.25,,,,,
1383,345.5,Bass Drum,,[0.5],,3rd Quarter
1384,345.75,,,,,
1385,346,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1386,346.25,,,,,
1387,346.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1388,346.75,,,,,
1389,347,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1390,347.25,,,,,
1391,347.5,Bass Drum,,[0.5],,3rd Quarter
1392,347.75,,,,,
1393,348,Tom-tom, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1394,348.25,,,,,
1395,348.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1396,348.75,,,,,
1397,349,Bass Drum,Bass Drum,[0.5, 1.0],1st Quarter
1398,349.25,,,,,
1399,349.5,Bass Drum,,[0.5],,3rd Quarter
1400,349.75,,,,,
1401,350,Bass Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
1402,350.25,,,,,
1403,350.5,Bass Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
1404,350.75,,,,,
1405,351,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1406,351.25,,,,,
1407,351.5,,,,,
1408,351.75,,,,,
1409,352,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1410,352.25,,,,,
1411,352.5,,,,,
1412,352.75,,,,,
1413,353,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1414,353.25,,,,,
1415,353.5,,,,,
1416,353.75,B,,[0.25],,4th Quarter
1417,354,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1418,354.25,,,,,
1419,354.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1420,354.75,,,,,
1421,355,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1422,355.25,,,,,
1423,355.5,,,,,
1424,355.75,,,,,
1425,356,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1426,356.25,,,,,
1427,356.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1428,356.75,,,,,
1429,357,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1430,357.25,,,,,
1431,357.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1432,357.75,,,,,
1433,358,Tom-tom,,[1.0],,1st Quarter
1434,358.25,,,,,
1435,358.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1436,358.75,,,,,
1437,359,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1438,359.25,,,,,
1439,359.5,,,,,
1440,359.75,,,,,
1441,360,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1442,360.25,,,,,
1443,360.5,,,,,
1444,360.75,,,,,
1445,361,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1446,361.25,,,,,
1447,361.5,,,,,
1448,361.75,B,,[0.25],,4th Quarter
1449,362,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1450,362.25,,,,,
1451,362.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1452,362.75,,,,,
1453,363,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1454,363.25,,,,,
1455,363.5,,,,,
1456,363.75,,,,,
1457,364,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1458,364.25,,,,,
1459,364.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1460,364.75,,,,,
1461,365,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1462,365.25,,,,,
1463,365.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1464,365.75,,,,,
1465,366,Tom-tom,,[1.0],,1st Quarter
1466,366.25,,,,,
1467,366.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1468,366.75,,,,,
1469,367,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1470,367.25,,,,,
1471,367.5,,,,,
1472,367.75,,,,,
1473,368,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1474,368.25,,,,,
1475,368.5,,,,,
1476,368.75,,,,,
1477,369,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1478,369.25,,,,,
1479,369.5,,,,,
1480,369.75,B,,[0.25],,4th Quarter
1481,370,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1482,370.25,,,,,
1483,370.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1484,370.75,,,,,
1485,371,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1486,371.25,,,,,
1487,371.5,,,,,
1488,371.75,,,,,
1489,372,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1490,372.25,,,,,
1491,372.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1492,372.75,,,,,
1493,373,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1494,373.25,,,,,
1495,373.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1496,373.75,,,,,
1497,374,Tom-tom,,[1.0],,1st Quarter
1498,374.25,,,,,
1499,374.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1500,374.75,,,,,
1501,375,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1502,375.25,,,,,
1503,375.5,,,,,
1504,375.75,,,,,
1505,376,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1506,376.25,,,,,
1507,376.5,,,,,
1508,376.75,,,,,
1509,377,Tom-tom,Bass Drum,[1.0, 0.75],1st Quarter
1510,377.25,,,,,
1511,377.5,,,,,
1512,377.75,B,,[0.25],,4th Quarter
1513,378,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1514,378.25,,,,,
1515,378.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1516,378.75,,,,,
1517,379,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
1518,379.25,,,,,
1519,379.5,,,,,
1520,379.75,,,,,
1521,380,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1522,380.25,,,,,
1523,380.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1524,380.75,,,,,
1525,381,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1526,381.25,,,,,
1527,381.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1528,381.75,,,,,
1529,382,Tom-tom,Bass Drum,[1.0, 0.5],1st Quarter
1530,382.25,,,,,
1531,382.5,B,,[0.5],,3rd Quarter
1532,382.75,,,,,
1533,383,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
1534,383.25,,,,,
1535,383.5,Hi-Hat (Open),,[0.5],,3rd Quarter
1536,383.75,,,,,
1537,384,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
1538,384.25,,,,,
1539,384.5,,,,,
1540,384.75,,,,,
1541,385,,,,,
1542,385.25,,,,,
1543,385.5,,,,,
1544,385.75,,,,,
1545,386,,,,,
1546,386.25,,,,,
1547,386.5,,,,,
1548,386.75,,,,,
1549,387,,,,,
1550,387.25,,,,,
1551,387.5,,,,,
1552,387.75,,,,,
