Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
&,Bass Drum,Hi-Hat (Open),51.625
a,,,51.6875
208,Bass Drum,Hi-Hat (Open),51.75
e,,,51.8125
&,Snare Drum,Tom-tom,51.875
a,,,51.9375
209,Snare Drum,Tom-tom,52
e,,,52.0625
&,,,52.125
a,,,52.1875
210,Bass Drum,Tom-tom,52.25
e,,,52.3125
&,Hi-Hat (Open),,52.375
a,,,52.4375
211,Snare Drum,Hi-Hat (Open),52.5
e,,,52.5625
&,Bass Drum,Hi-Hat (Open),52.625
a,,,52.6875
212,Bass Drum,Hi-Hat (Open),52.75
e,,,52.8125
&,Hi-Hat (Open),,52.875
a,,,52.9375
213,Snare Drum,Hi-Hat (Open),53
e,,,53.0625
&,Bass Drum,Hi-Hat (Open),53.125
a,,,53.1875
214,Bass Drum,Hi-Hat (Open),53.25
e,,,53.3125
&,Hi-Hat (Open),,53.375
a,,,53.4375
215,Snare Drum,Hi-Hat (Open),53.5
e,,,53.5625
&,Bass Drum,Hi-Hat (Open),53.625
a,,,53.6875
216,Bass Drum,Hi-Hat (Open),53.75
e,,,53.8125
&,Hi-Hat (Open),,53.875
a,,,53.9375
217,Hi-Hat (Open),,54
e,,,54.0625
&,Bass Drum,Hi-Hat (Open),54.125
a,,,54.1875
218,Bass Drum,Hi-Hat (Open),54.25
e,,,54.3125
&,Hi-Hat (Open),,54.375
a,,,54.4375
219,Snare Drum,Hi-Hat (Open),54.5
e,,,54.5625
&,Bass Drum,Hi-Hat (Open),54.625
a,,,54.6875
220,Bass Drum,Hi-Hat (Open),54.75
e,,,54.8125
&,Hi-Hat (Open),,54.875
a,,,54.9375
221,Hi-Hat (Open),,55
e,,,55.0625
&,Bass Drum,Hi-Hat (Open),55.125
a,,,55.1875
222,Bass Drum,Hi-Hat (Open),55.25
e,,,55.3125
&,Hi-Hat (Open),,55.375
a,,,55.4375
223,Snare Drum,Hi-Hat (Open),55.5
e,,,55.5625
&,Bass Drum,Hi-Hat (Open),55.625
a,,,55.6875
224,Bass Drum,Hi-Hat (Open),55.75
e,,,55.8125
&,Hi-Hat (Open),,55.875
a,,,55.9375
225,Hi-Hat (Open),,56
e,,,56.0625
&,Bass Drum,Hi-Hat (Open),56.125
a,,,56.1875
226,Bass Drum,Hi-Hat (Open),56.25
e,,,56.3125
&,Hi-Hat (Open),,56.375
a,,,56.4375
227,Snare Drum,Hi-Hat (Open),56.5
e,,,56.5625
&,Bass Drum,Hi-Hat (Open),56.625
a,,,56.6875
228,Bass Drum,Hi-Hat (Open),56.75
e,,,56.8125
&,Hi-Hat (Open),,56.875
a,,,56.9375
229,Hi-Hat (Open),,57
e,,,57.0625
&,Bass Drum,Hi-Hat (Open),57.125
a,,,57.1875
230,Bass Drum,Hi-Hat (Open),57.25
e,,,57.3125
&,Hi-Hat (Open),,57.375
a,,,57.4375
231,Snare Drum,Hi-Hat (Open),57.5
e,,,57.5625
&,Bass Drum,Hi-Hat (Open),57.625
a,,,57.6875
232,Bass Drum,Hi-Hat (Open),57.75
e,,,57.8125
&,Hi-Hat (Open),,57.875
a,,,57.9375
233,Hi-Hat (Open),,58
e,,,58.0625
&,Bass Drum,Hi-Hat (Open),58.125
a,,,58.1875
234,Bass Drum,Hi-Hat (Open),58.25
e,,,58.3125
&,Hi-Hat (Open),,58.375
a,,,58.4375
235,Snare Drum,Hi-Hat (Open),58.5
e,,,58.5625
&,Bass Drum,Hi-Hat (Open),58.625
a,,,58.6875
236,Bass Drum,Hi-Hat (Open),58.75
e,,,58.8125
&,Hi-Hat (Open),,58.875
a,,,58.9375
237,Hi-Hat (Open),,59
e,,,59.0625
&,Bass Drum,Hi-Hat (Open),59.125
a,,,59.1875
238,Bass Drum,Hi-Hat (Open),59.25
e,,,59.3125
&,Snare Drum,Tom-tom,59.375
a,,,59.4375
239,Hi-Hat (Open),,59.5
e,,,59.5625
&,Bass Drum,Hi-Hat (Open),59.625
a,,,59.6875
240,Snare Drum,Tom-tom,59.75
e,,,59.8125
&,Bass Drum,,59.875
a,,,59.9375
241,Snare Drum,Tom-tom,60
e,,,60.0625
&,,,60.125
a,,,60.1875
242,Bass Drum,Tom-tom,60.25
e,,,60.3125
&,Hi-Hat (Open),,60.375
a,,,60.4375
243,Snare Drum,Hi-Hat (Open),60.5
e,,,60.5625
&,Bass Drum,Tom-tom,60.625
a,,,60.6875
244,Hi-Hat (Open),,60.75
e,,,60.8125
&,Bass Drum,Hi-Hat (Open),60.875
a,,,60.9375
245,Snare Drum,Hi-Hat (Open),61
e,,,61.0625
&,Hi-Hat (Open),,61.125
a,,,61.1875
246,Bass Drum,Tom-tom,61.25
e,,,61.3125
&,Hi-Hat (Open),,61.375
a,,,61.4375
247,Snare Drum,Hi-Hat (Open),61.5
e,,,61.5625
&,Bass Drum,Tom-tom,61.625
a,,,61.6875
248,Hi-Hat (Open),,61.75
e,,,61.8125
&,Bass Drum,Hi-Hat (Open),61.875
a,,,61.9375
249,Snare Drum,Hi-Hat (Open),62
e,,,62.0625
&,Bass Drum,Hi-Hat (Open),62.125
a,,,62.1875
250,Bass Drum,Tom-tom,62.25
e,,,62.3125
&,Hi-Hat (Open),,62.375
a,,,62.4375
251,Snare Drum,Hi-Hat (Open),62.5
e,,,62.5625
&,Bass Drum,Hi-Hat (Open),62.625
a,,,62.6875
252,Bass Drum,Hi-Hat (Open),62.75
e,,,62.8125
&,Hi-Hat (Open),,62.875
a,,,62.9375
253,Snare Drum,Hi-Hat (Open),63
e,,,63.0625
&,Bass Drum,Hi-Hat (Open),63.125
a,,,63.1875
254,Bass Drum,Hi-Hat (Open),63.25
e,,,63.3125
&,Hi-Hat (Open),,63.375
a,,,63.4375
255,Snare Drum,Hi-Hat (Open),63.5
e,,,63.5625
&,Bass Drum,Hi-Hat (Open),63.625
a,,,63.6875
256,Bass Drum,Hi-Hat (Open),63.75
e,,,63.8125
&,Hi-Hat (Open),,63.875
a,,,63.9375
257,Snare Drum,Hi-Hat (Open),64
e,,,64.0625
&,Bass Drum,Hi-Hat (Open),64.125
a,,,64.1875
258,Bass Drum,Tom-tom,64.25
e,,,64.3125
&,Hi-Hat (Open),,64.375
a,,,64.4375
259,Snare Drum,Hi-Hat (Open),64.5
e,,,64.5625
&,Bass Drum,Tom-tom,64.625
a,,,64.6875
260,Hi-Hat (Open),,64.75
e,,,64.8125
&,Bass Drum,Hi-Hat (Open),64.875
a,,,64.9375
261,Snare Drum,Hi-Hat (Open),65
e,,,65.0625
&,Hi-Hat (Open),,65.125
a,,,65.1875
262,Bass Drum,Tom-tom,65.25
e,,,65.3125
&,Hi-Hat (Open),,65.375
a,,,65.4375
263,Snare Drum,Hi-Hat (Open),65.5
e,,,65.5625
&,Bass Drum,Tom-tom,65.625
a,,,65.6875
264,Hi-Hat (Open),,65.75
e,,,65.8125
&,Bass Drum,Hi-Hat (Open),65.875
a,,,65.9375
265,Snare Drum,Hi-Hat (Open),66
e,,,66.0625
&,Hi-Hat (Open),,66.125
a,,,66.1875
266,Bass Drum,Tom-tom,66.25
e,,,66.3125
&,Tom-tom,Snare Drum,66.375
a,,,66.4375
267,Tom-tom,Snare Drum,66.5
e,,,66.5625
&,Tom-tom,Snare Drum,66.625
a,,,66.6875
268,Tom-tom,Snare Drum,66.75
e,,,66.8125
&,Tom-tom,Snare Drum,66.875
a,,,66.9375
269,Tom-tom,Snare Drum,67
e,,,67.0625
&,Tom-tom,Snare Drum,67.125
a,,,67.1875
270,Tom-tom,Snare Drum,67.25
e,,,67.3125
&,Tom-tom,Snare Drum,67.375
a,,,67.4375
271,Tom-tom,Snare Drum,67.5
e,,,67.5625
&,Tom-tom,Snare Drum,67.625
a,,,67.6875
272,Tom-tom,Snare Drum,67.75
e,,,67.8125
&,Bass Drum,,67.875
a,,,67.9375
273,Snare Drum,Snare Drum,68
e,,,68.0625
&,,,68.125
a,,,68.1875
274,Bass Drum,Tom-tom,68.25
e,,,68.3125
&,Hi-Hat (Open),,68.375
a,,,68.4375
275,Snare Drum,Hi-Hat (Open),68.5
e,,,68.5625
&,Bass Drum,Tom-tom,68.625
a,,,68.6875
276,Hi-Hat (Open),,68.75
e,,,68.8125
&,Bass Drum,Hi-Hat (Open),68.875
a,,,68.9375
277,Snare Drum,Hi-Hat (Open),69
e,,,69.0625
&,Hi-Hat (Open),,69.125
a,,,69.1875
278,Bass Drum,Tom-tom,69.25
e,,,69.3125
&,Hi-Hat (Open),,69.375
a,,,69.4375
279,Snare Drum,Hi-Hat (Open),69.5
e,,,69.5625
&,Bass Drum,Hi-Hat (Open),69.625
a,,,69.6875
280,Hi-Hat (Open),,69.75
e,,,69.8125
&,Bass Drum,Hi-Hat (Open),69.875
a,,,69.9375
281,Snare Drum,Hi-Hat (Open),70
e,,,70.0625
&,Hi-Hat (Open),,70.125
a,,,70.1875
282,Bass Drum,Tom-tom,70.25
e,,,70.3125
&,Tom-tom,Snare Drum,70.375
a,,,70.4375
283,Tom-tom,Snare Drum,70.5
e,,,70.5625
&,Tom-tom,Snare Drum,70.625
a,,,70.6875
284,Tom-tom,Snare Drum,70.75
e,,,70.8125
&,Tom-tom,Snare Drum,70.875
a,,,70.9375
285,Tom-tom,Snare Drum,71
e,,,71.0625
&,Tom-tom,Snare Drum,71.125
a,,,71.1875
286,Tom-tom,Snare Drum,71.25
e,,,71.3125
&,Tom-tom,Snare Drum,71.375
a,,,71.4375
287,Tom-tom,Snare Drum,71.5
e,,,71.5625
&,Tom-tom,Snare Drum,71.625
a,,,71.6875
288,Tom-tom,Snare Drum,71.75
e,,,71.8125
&,Tom-tom,Snare Drum,71.875
a,,,71.9375
289,Snare Drum,Snare Drum,72
e,,,72.0625
&,,,72.125
a,,,72.1875
290,Bass Drum,Tom-tom,72.25
e,,,72.3125
&,Hi-Hat (Open),,72.375
a,,,72.4375
291,Snare Drum,Hi-Hat (Open),72.5
e,,,72.5625
&,Bass Drum,Tom-tom,72.625
a,,,72.6875
292,Hi-Hat (Open),,72.75
e,,,72.8125
&,Bass Drum,Hi-Hat (Open),72.875
a,,,72.9375
293,Snare Drum,Hi-Hat (Open),73
e,,,73.0625
&,Hi-Hat (Open),,73.125
a,,,73.1875
294,Bass Drum,Tom-tom,73.25
e,,,73.3125
&,Hi-Hat (Open),,73.375
a,,,73.4375
295,Snare Drum,Hi-Hat (Open),73.5
e,,,73.5625
&,Bass Drum,Hi-Hat (Open),73.625
a,,,73.6875
296,Hi-Hat (Open),,73.75
e,,,73.8125
&,Bass Drum,Hi-Hat (Open),73.875
a,,,73.9375
297,Snare Drum,Hi-Hat (Open),74
e,,,74.0625
&,Hi-Hat (Open),,74.125
a,,,74.1875
298,Bass Drum,Tom-tom,74.25
e,,,74.3125
&,Hi-Hat (Open),,74.375
a,,,74.4375
299,Snare Drum,Hi-Hat (Open),74.5
e,,,74.5625
&,Bass Drum,Hi-Hat (Open),74.625
a,,,74.6875
300,Hi-Hat (Open),,74.75
e,,,74.8125
&,Bass Drum,Hi-Hat (Open),74.875
a,,,74.9375
301,Snare Drum,Hi-Hat (Open),75
e,,,75.0625
&,Hi-Hat (Open),,75.125
a,,,75.1875
302,Bass Drum,Tom-tom,75.25
e,,,75.3125
&,Hi-Hat (Open),,75.375
a,,,75.4375
303,Snare Drum,Hi-Hat (Open),75.5
e,,,75.5625
&,Bass Drum,Hi-Hat (Open),75.625
a,,,75.6875
304,Bass Drum,Tom-tom,75.75
e,,,75.8125
&,,,75.875
a,,,75.9375
305,Bass Drum,Tom-tom,76
e,,,76.0625
&,,,76.125
a,,,76.1875
306,Bass Drum,Ghost Note,76.25
e,,,76.3125
&,Ghost Note,,76.375
a,,,76.4375
307,Snare Drum,Ghost Note,76.5
e,,,76.5625
&,Bass Drum,Ghost Note,76.625
a,,,76.6875
308,Ghost Note,,76.75
e,,,76.8125
&,Ghost Note,,76.875
a,,,76.9375
309,Snare Drum,Ghost Note,77
e,,,77.0625
&,Ghost Note,,77.125
a,,,77.1875
310,Bass Drum,Ghost Note,77.25
e,,,77.3125
&,Ghost Note,,77.375
a,,,77.4375
311,Snare Drum,Ghost Note,77.5
e,,,77.5625
&,Bass Drum,Ghost Note,77.625
a,,,77.6875
312,Ghost Note,,77.75
e,,,77.8125
&,Ghost Note,,77.875
a,,,77.9375
313,Snare Drum,Ghost Note,78
e,,,78.0625
&,Ghost Note,,78.125
a,,,78.1875
314,Bass Drum,Ghost Note,78.25
e,,,78.3125
&,Ghost Note,,78.375
a,,,78.4375
315,Snare Drum,Ghost Note,78.5
e,,,78.5625
&,Bass Drum,Ghost Note,78.625
a,,,78.6875
316,Ghost Note,,78.75
e,,,78.8125
&,Ghost Note,,78.875
a,,,78.9375
317,Snare Drum,Ghost Note,79
e,,,79.0625
&,Ghost Note,,79.125
a,,,79.1875
318,Ghost Note,,79.25
e,,,79.3125
&,Bass Drum,Ghost Note,79.375
a,,,79.4375
319,Snare Drum,Ghost Note,79.5
e,,,79.5625
&,Bass Drum,Ghost Note,79.625
a,,,79.6875
320,Bass Drum,Ghost Note,79.75
e,,,79.8125
&,Ghost Note,,79.875
a,,,79.9375
321,Snare Drum,Ghost Note,80
e,,,80.0625
&,Ghost Note,,80.125
a,,,80.1875
322,Bass Drum,Ghost Note,80.25
e,,,80.3125
&,Ghost Note,,80.375
a,,,80.4375
323,Snare Drum,Ghost Note,80.5
e,,,80.5625
&,Bass Drum,Ghost Note,80.625
a,,,80.6875
324,Ghost Note,,80.75
e,,,80.8125
&,Ghost Note,,80.875
a,,,80.9375
325,Snare Drum,Ghost Note,81
e,,,81.0625
&,Ghost Note,,81.125
a,,,81.1875
326,Bass Drum,Ghost Note,81.25
e,,,81.3125
&,Ghost Note,,81.375
a,,,81.4375
327,Snare Drum,Ghost Note,81.5
e,,,81.5625
&,Bass Drum,Ghost Note,81.625
a,,,81.6875
328,Ghost Note,,81.75
e,,,81.8125
&,Ghost Note,,81.875
a,,,81.9375
329,Snare Drum,Ghost Note,82
e,,,82.0625
&,Ghost Note,,82.125
a,,,82.1875
330,Bass Drum,Ghost Note,82.25
e,,,82.3125
&,Ghost Note,,82.375
a,,,82.4375
331,Snare Drum,Ghost Note,82.5
e,,,82.5625
&,Bass Drum,Ghost Note,82.625
a,,,82.6875
332,Ghost Note,,82.75
e,,,82.8125
&,Ghost Note,,82.875
a,,,82.9375
333,Snare Drum,Ghost Note,83
e,,,83.0625
&,Ghost Note,,83.125
a,,,83.1875
334,Ghost Note,,83.25
e,,,83.3125
&,Bass Drum,Ghost Note,83.375
a,,,83.4375
335,Snare Drum,Ghost Note,83.5
e,,,83.5625
&,Bass Drum,Ghost Note,83.625
a,,,83.6875
336,Bass Drum,Ghost Note,83.75
e,,,83.8125
&,Ghost Note,,83.875
a,,,83.9375
337,Snare Drum,Ghost Note,84
e,,,84.0625
&,Snare Drum,Ghost Note,84.125
a,,,84.1875
338,Bass Drum,Tom-tom,84.25
e,,,84.3125
&,Ghost Note,,84.375
a,,,84.4375
339,Snare Drum,Ghost Note,84.5
e,,,84.5625
&,Ghost Note,,84.625
a,,,84.6875
340,Ghost Note,,84.75
e,,,84.8125
&,Bass Drum,Ghost Note,84.875
a,,,84.9375
341,Snare Drum,Ghost Note,85
e,,,85.0625
&,Ghost Note,,85.125
a,,,85.1875
342,Bass Drum,Ghost Note,85.25
e,,,85.3125
&,Ghost Note,,85.375
a,,,85.4375
343,Snare Drum,Ghost Note,85.5
e,,,85.5625
&,Bass Drum,Ghost Note,85.625
a,,,85.6875
344,Ghost Note,,85.75
e,,,85.8125
&,Bass Drum,Ghost Note,85.875
a,,,85.9375
345,Snare Drum,Ghost Note,86
e,,,86.0625
&,Bass Drum,Ghost Note,86.125
a,,,86.1875
346,Snare Drum,Tom-tom,86.25
e,,,86.3125
&,Tom-tom,Snare Drum,86.375
a,,,86.4375
347,Tom-tom,Snare Drum,86.5
e,,,86.5625
&,Tom-tom,Snare Drum,86.625
a,,,86.6875
348,Tom-tom,Snare Drum,86.75
e,,,86.8125
&,Tom-tom,Snare Drum,86.875
a,,,86.9375
349,Tom-tom,Snare Drum,87
e,,,87.0625
&,Tom-tom,Snare Drum,87.125
a,,,87.1875
350,Tom-tom,Snare Drum,87.25
e,,,87.3125
&,Tom-tom,Snare Drum,87.375
a,,,87.4375
351,Tom-tom,Snare Drum,87.5
e,,,87.5625
&,Tom-tom,Snare Drum,87.625
a,,,87.6875
352,Snare Drum,Snare Drum,87.75
e,,,87.8125
&,Bass Drum,,87.875
a,,,87.9375
353,Snare Drum,Snare Drum,88
e,,,88.0625
&,,,88.125
a,,,88.1875
354,Bass Drum,Tom-tom,88.25
e,,,88.3125
&,Hi-Hat (Open),,88.375
a,,,88.4375
355,Snare Drum,Hi-Hat (Open),88.5
e,,,88.5625
&,Bass Drum,Tom-tom,88.625
a,,,88.6875
356,Hi-Hat (Open),,88.75
e,,,88.8125
&,Bass Drum,Hi-Hat (Open),88.875
a,,,88.9375
357,Snare Drum,Hi-Hat (Open),89
e,,,89.0625
&,Hi-Hat (Open),,89.125
a,,,89.1875
358,Bass Drum,Tom-tom,89.25
e,,,89.3125
&,Hi-Hat (Open),,89.375
a,,,89.4375
359,Snare Drum,Hi-Hat (Open),89.5
e,,,89.5625
&,Bass Drum,Tom-tom,89.625
a,,,89.6875
360,Hi-Hat (Open),,89.75
e,,,89.8125
&,Bass Drum,Hi-Hat (Open),89.875
a,,,89.9375
361,Snare Drum,Hi-Hat (Open),90
e,,,90.0625
&,Hi-Hat (Open),,90.125
a,,,90.1875
362,Bass Drum,Tom-tom,90.25
e,,,90.3125
&,Hi-Hat (Open),,90.375
a,,,90.4375
363,Snare Drum,Hi-Hat (Open),90.5
e,,,90.5625
&,Bass Drum,Tom-tom,90.625
a,,,90.6875
364,Hi-Hat (Open),,90.75
e,,,90.8125
&,Bass Drum,Hi-Hat (Open),90.875
a,,,90.9375
365,Snare Drum,Hi-Hat (Open),91
e,,,91.0625
&,Hi-Hat (Open),,91.125
a,,,91.1875
366,Bass Drum,Tom-tom,91.25
e,,,91.3125
&,Hi-Hat (Open),,91.375
a,,,91.4375
367,Snare Drum,Hi-Hat (Open),91.5
e,,,91.5625
&,Hi-Hat (Open),,91.625
a,,,91.6875
368,Bass Drum,Tom-tom,91.75
e,,,91.8125
&,,,91.875
a,,,91.9375
369,Bass Drum,Tom-tom,92
e,,,92.0625
&,,,92.125
a,,,92.1875
370,Bass Drum,Tom-tom,92.25
e,,,92.3125
&,Hi-Hat (Open),,92.375
a,,,92.4375
371,Snare Drum,Hi-Hat (Open),92.5
e,,,92.5625
&,Bass Drum,Tom-tom,92.625
a,,,92.6875
372,Hi-Hat (Open),,92.75
e,,,92.8125
&,Bass Drum,Hi-Hat (Open),92.875
a,,,92.9375
373,Snare Drum,Hi-Hat (Open),93
e,,,93.0625
&,Hi-Hat (Open),,93.125
a,,,93.1875
374,Bass Drum,Tom-tom,93.25
e,,,93.3125
&,Hi-Hat (Open),,93.375
a,,,93.4375
375,Snare Drum,Hi-Hat (Open),93.5
e,,,93.5625
&,Bass Drum,Tom-tom,93.625
a,,,93.6875
376,Hi-Hat (Open),,93.75
e,,,93.8125
&,Bass Drum,Hi-Hat (Open),93.875
a,,,93.9375
377,Snare Drum,Hi-Hat (Open),94
e,,,94.0625
&,Hi-Hat (Open),,94.125
a,,,94.1875
378,Bass Drum,Tom-tom,94.25
e,,,94.3125
&,Hi-Hat (Open),,94.375
a,,,94.4375
379,Snare Drum,Hi-Hat (Open),94.5
e,,,94.5625
&,Bass Drum,Tom-tom,94.625
a,,,94.6875
380,Hi-Hat (Open),,94.75
e,,,94.8125
&,Bass Drum,Hi-Hat (Open),94.875
a,,,94.9375
381,Snare Drum,Hi-Hat (Open),95
e,,,95.0625
&,Hi-Hat (Open),,95.125
a,,,95.1875
382,Bass Drum,Tom-tom,95.25
e,,,95.3125
&,Bass Drum,Tom-tom,95.375
a,,,95.4375
383,,,95.5
e,Bass Drum,Tom-tom,95.5625
&,,,95.625
a,,,95.6875
384,Bass Drum,Tom-tom,95.75
e,,,95.8125
&,Bass Drum,Tom-tom,95.875
a,,,95.9375
385,,,96
e,Bass Drum,Tom-tom,96.0625
&,,,96.125
a,,,96.1875
386,Bass Drum,Tom-tom,96.25
e,,,96.3125
&,Hi-Hat (Open),,96.375
a,,,96.4375
387,Snare Drum,Hi-Hat (Open),96.5
e,,,96.5625
&,Bass Drum,Tom-tom,96.625
a,,,96.6875
388,Hi-Hat (Open),,96.75
e,,,96.8125
&,Bass Drum,Hi-Hat (Open),96.875
a,,,96.9375
389,Snare Drum,Hi-Hat (Open),97
e,,,97.0625
&,Hi-Hat (Open),,97.125
a,,,97.1875
390,Bass Drum,Tom-tom,97.25
e,,,97.3125
&,Hi-Hat (Open),,97.375
a,,,97.4375
391,Snare Drum,Hi-Hat (Open),97.5
e,,,97.5625
&,Bass Drum,Tom-tom,97.625
a,,,97.6875
392,Hi-Hat (Open),,97.75
e,,,97.8125
&,Bass Drum,Hi-Hat (Open),97.875
a,,,97.9375
393,Snare Drum,Hi-Hat (Open),98
e,,,98.0625
&,Hi-Hat (Open),,98.125
a,,,98.1875
394,Bass Drum,Tom-tom,98.25
e,,,98.3125
&,,,98.375
a,,,98.4375
395,Hi-Hat (Open),,98.5
e,,,98.5625
&,,,98.625
a,,,98.6875
396,Hi-Hat (Open),,98.75
e,,,98.8125
&,,,98.875
a,,,98.9375
397,Hi-Hat (Open),,99
e,,,99.0625
&,,,99.125
a,,,99.1875
398,Bass Drum,Tom-tom,99.25
e,,,99.3125
&,,,99.375
a,,,99.4375
399,Hi-Hat (Open),,99.5
e,,,99.5625
&,,,99.625
a,,,99.6875
400,Bass Drum,Tom-tom,99.75
e,,,99.8125
&,,,99.875
a,,,99.9375
401,Hi-Hat (Open),,100
e,,,100.0625
&,,,100.125
a,,,100.1875
402,Bass Drum,Tom-tom,100.25
